what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.integration,12.0.0.263,"com.altera.sbtgui.integration",1353294921720
started,bundle,com.altera.systemconsole,12.0.0.263,"com.altera.systemconsole",1353294921751
started,bundle,com.altera.utilities,12.0.0.263,"com.altera.utilities",1353294921845
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.263,"com.altera.systemconsole.designs.plugin",1353294921860
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353294922095
started,bundle,com.altera.systemconsole.scripting,12.0.0.263,"com.altera.systemconsole.scripting",1353294922220
started,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1353294922845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353294923595
started,bundle,com.altera.sbtgui.core,12.0.0.263,"com.altera.sbtgui.core",1353294927595
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1353294927814
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1353294929407
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1353294929439
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1353294929454
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353294931360
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353294931439
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1353294931532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353294933235
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353294940923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353294944735
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1353294961829
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1353294961985
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353294991860
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353294997517
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353295002298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295009095
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295013173
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1353295013204
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295017251
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295027017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295030892
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295033532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295037048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295040189
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1353295040220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295047767
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295047798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353295047907
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353296471814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353296472173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353296472345
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353296472814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353296473845
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1353296474079
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353296474220
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1353296474485
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.263,"com.altera.debug.cdi.gdb.plugin",1353296474501
