what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480715285
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1353480716804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480717084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480737725
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353480737845
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1353480746825
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353480747785
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1353480776345
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353480780765
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1353480793620
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353480794946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480799653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480803143
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1353480803253
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1353480805697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480805993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480813044
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1353480814091
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353480819068
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480821532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480831248
executed,command,com.altera.sbtgui.flash.plugin,,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1353480833229
started,bundle,com.altera.sbtgui.flash.plugin,12.0.0.263,"com.altera.sbtgui.flash.plugin",1353480833245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480833557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480834342
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480838164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480915931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480917351
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480917460
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480920680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480938804
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1353480942250
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1353480942282
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353480942328
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1353480946471
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1353480946471
opened,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1353480950181
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1353480951081
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1353480951091
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1353480966621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481008890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481012244
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481033570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481281236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481290034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481399596
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481400501
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481412983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481415945
